# Angle of attack (°),Mach number (?),Drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?)
8.3036,0.037141,0.32739,1.6071,0.83331,5.78E-05,0,0
7.7325,0.039663,0.32736,1.4661,0.81323,-1.87E-04,0,0
7.1115,0.043462,0.32738,1.3178,0.78646,-4.28E-04,0,0
6.5581,0.049188,0.3274,1.1901,0.75736,9.63E-06,0,0
5.5578,0.057745,0.32745,0.97,0.69112,8.51E-05,0,0
4.7037,0.067842,0.32752,0.79299,0.62049,-3.54E-04,0,0
4.1036,0.077951,0.3276,0.67469,0.56382,-2.23E-04,0,0
3.5917,0.088059,0.32769,0.57778,0.51072,4.06E-04,0,0
3.2181,0.098171,0.32779,0.50935,0.46983,-9.95E-05,0,0
2.7658,0.10827,0.32791,0.4291,0.41562,-3.16E-04,0,0
2.4393,0.11837,0.32803,0.37297,0.37354,1.05E-04,0,0
2.2021,0.12847,0.32816,0.33314,0.34261,7.80E-05,0,0
1.9325,0.13856,0.32831,0.2888,0.30631,2.38E-04,0,0
1.759,0.14865,0.32847,0.26084,0.28123,-3.79E-04,0,0
1.6101,0.15874,0.32864,0.23718,0.25989,1.18E-04,0,0
1.4107,0.16881,0.32882,0.20593,0.23072,2.19E-04,0,0
1.2808,0.17887,0.32901,0.18588,0.21134,-2.22E-04,0,0
1.1317,0.18893,0.32921,0.16315,0.18812,-1.73E-04,0,0
0.84663,0.19896,0.32942,0.12042,0.142,-3.20E-04,0,0
0.59812,0.20898,0.32964,0.084081,0.10066,-1.67E-04,0,0
0.42617,0.21899,0.32988,0.059432,0.072269,4.11E-04,0,0
0.1578,0.22898,0.33013,0.021724,0.024566,1.77E-04,0,0
0.086573,0.23895,0.33038,0.011883,0.019148,3.41E-04,0,0
0.2271,0.24891,0.33065,0.031422,0.04338,-3.13E-04,0,0
0.37219,0.25886,0.33093,0.051919,0.069245,-2.40E-04,0,0
0.52291,0.26878,0.33122,0.073561,0.095826,1.33E-04,0,0
0.61876,0.27869,0.33152,0.087536,0.11293,-1.52E-05,0,0
0.71525,0.28858,0.33184,0.10176,0.1297,-4.84E-04,0,0
0.77927,0.29845,0.33216,0.11132,0.14138,-5.93E-05,0,0
0.76211,0.3083,0.3325,0.10888,0.13797,6.72E-05,0,0
0.68618,0.31814,0.33284,0.097763,0.12588,-2.85E-04,0,0
0.64291,0.32795,0.3332,0.091495,0.11835,4.78E-04,0,0
0.62089,0.33772,0.33357,0.088356,0.11468,-4.18E-04,0,0
0.5812,0.34747,0.33395,0.082634,0.10827,-1.53E-04,0,0
0.47933,0.35721,0.33435,0.067881,0.089706,1.20E-06,0,0
0.34454,0.36693,0.33475,0.048523,0.064951,-1.44E-04,0,0
0.19559,0.37662,0.33517,0.027372,0.037799,9.06E-05,0,0
0.072089,0.38628,0.33559,0.010038,0.01328,-3.39E-04,0,0
0.029744,0.39591,0.33603,0.0041382,0.0058955,6.83E-05,0,0
0.12812,0.40552,0.33648,0.017937,0.025359,1.32E-05,0,0
0.21918,0.41509,0.33694,0.030867,0.043552,1.70E-04,0,0
0.31171,0.42464,0.33742,0.04416,0.062105,9.83E-05,0,0
0.34031,0.43415,0.3379,0.048347,0.067781,-4.62E-04,0,0
0.30801,0.44362,0.3384,0.043749,0.062003,-4.01E-04,0,0
0.30239,0.45308,0.3389,0.043001,0.060864,-4.15E-04,0,0
0.28071,0.4625,0.33942,0.039934,0.057071,4.80E-04,0,0
0.21819,0.47188,0.33996,0.030991,0.044768,3.23E-04,0,0
0.13047,0.48123,0.3405,0.018479,0.027035,-1.87E-06,0,0
0.041074,0.49054,0.34106,0.0058009,0.0080906,1.78E-04,0,0
0.024016,0.49982,0.34163,0.0033943,0.0055955,4.34E-04,0,0
0.080079,0.50908,0.34221,0.011369,0.017031,-2.36E-04,0,0
0.13142,0.51829,0.34281,0.018737,0.028197,4.09E-05,0,0
0.15989,0.52747,0.34341,0.022866,0.034095,1.38E-04,0,0
0.17997,0.5366,0.34403,0.025808,0.038932,-2.72E-04,0,0
0.17395,0.5457,0.34467,0.024982,0.038076,2.43E-05,0,0
0.12047,0.55477,0.34532,0.017286,0.026466,-4.75E-05,0,0
0.064037,0.56381,0.34598,0.0091804,0.013691,-4.86E-04,0,0
0.046095,0.57278,0.34665,0.0066148,0.010663,3.47E-04,0,0
0.013119,0.58172,0.34734,0.0018831,0.0033868,-2.67E-04,0,0
0.040385,0.59062,0.34804,0.0058161,0.0088381,-4.41E-04,0,0
0.069981,0.59948,0.34876,0.010113,0.015653,-1.43E-05,0,0
0.081123,0.6083,0.3495,0.011753,0.019062,-1.78E-04,0,0
0.078769,0.61707,0.35024,0.011434,0.018099,-1.28E-04,0,0
0.054537,0.62579,0.35101,0.0079232,0.013182,-2.58E-04,0,0
0.043335,0.63448,0.35179,0.0063056,0.0098844,-1.24E-04,0,0
0.025896,0.64313,0.35259,0.0037728,0.0058717,-1.89E-04,0,0
0.0081403,0.65172,0.3534,0.0011875,0.0020777,-7.70E-05,0,0
0.016573,0.66028,0.35423,0.002424,0.0039843,1.42E-04,0,0
0.031102,0.66879,0.35508,0.0045625,0.0077973,4.19E-04,0,0
0.015904,0.67727,0.35596,0.0023366,0.0036636,-7.43E-05,0,0
0.012617,0.68569,0.35685,0.0018576,0.0028629,2.53E-04,0,0
0.036779,0.69405,0.35776,0.0054337,0.0092298,1.12E-04,0,0
0.041163,0.70236,0.35869,0.006097,0.010102,2.79E-04,0,0
0.012619,0.71064,0.35964,0.0018709,0.0036438,-1.89E-04,0,0
0.039837,0.71889,0.36062,0.0059286,0.0099293,-2.38E-04,0,0
0.050264,0.72707,0.36163,0.0075022,0.013131,-7.88E-05,0,0
0.028425,0.73518,0.36265,0.0042486,0.0073005,3.12E-04,0,0
0.0038198,0.74325,0.36371,5.72E-04,7.94E-04,4.75E-04,0,0
0.016847,0.75127,0.36479,0.0025294,0.0045839,-2.29E-04,0,0
0.029545,0.75924,0.3659,0.00445,0.0081416,2.12E-04,0,0
0.031885,0.76716,0.36705,0.0048154,0.0082157,-4.11E-04,0,0
0.033678,0.77502,0.36823,0.0050999,0.0091811,-1.30E-04,0,0
0.018663,0.78283,0.36945,0.0028317,0.0054951,1.63E-04,0,0
0.016765,0.7906,0.3707,0.0025503,0.0046475,-2.98E-04,0,0
0.058847,0.79832,0.372,0.0089937,0.016523,-3.45E-04,0,0
0.070026,0.80598,0.37334,0.010737,0.020062,-2.83E-04,0,0
0.033371,0.81357,0.37473,0.0051223,0.0097412,-2.23E-04,0,0
0.0161,0.8211,0.37617,0.0024762,0.004608,1.37E-04,0,0
0.043024,0.82858,0.37767,0.0066441,0.012238,5.28E-05,0,0
0.055053,0.836,0.37923,0.0085308,0.016419,-4.12E-04,0,0
0.053716,0.84336,0.38086,0.0083471,0.016222,4.95E-05,0,0
0.027023,0.85066,0.38256,0.0042064,0.0081374,4.98E-04,0,0
0.0053628,0.8579,0.38434,8.36E-04,0.0012244,8.40E-05,0,0
0.035953,0.86509,0.38622,0.0056317,0.011208,2.34E-04,0,0
0.066805,0.87222,0.3882,0.01051,0.021333,-9.61E-05,0,0
0.066269,0.87928,0.39029,0.010457,0.021091,4.50E-04,0,0
0.027179,0.88627,0.39251,0.0042944,0.0085663,-1.69E-04,0,0
0.012822,0.8932,0.39487,0.0020307,0.0046263,1.65E-04,0,0
0.055534,0.90005,0.39743,0.0088397,0.018116,-1.06E-04,0,0
0.069552,0.90685,0.39684,0.011112,0.022813,5.53E-05,0,0
0.041523,0.91361,0.39625,0.0066464,0.013515,4.17E-04,0,0
0.0062419,0.92034,0.39568,0.0010007,0.0020476,4.79E-04,0,0
0.052778,0.92703,0.39511,0.0085043,0.01832,-4.06E-04,0,0
0.056697,0.93368,0.39456,0.009165,0.019579,-2.83E-04,0,0
0.029507,0.94028,0.39401,0.0047782,0.0099282,-4.72E-04,0,0
0.013145,0.94685,0.39347,0.0021333,0.0045318,-6.02E-05,0,0
0.045873,0.95337,0.39294,0.0074762,0.015736,2.44E-04,0,0
0.041224,0.95986,0.39242,0.0067354,0.014476,3.92E-04,0,0
0.023309,0.96631,0.3919,0.0038153,0.0080998,1.77E-04,0,0
0.0030152,0.97273,0.3914,4.94E-04,0.0014848,3.07E-04,0,0
0.044162,0.97912,0.3909,0.0072708,0.015484,-3.66E-04,0,0
0.062363,0.98547,0.39041,0.010299,0.0225,3.84E-05,0,0
0.026542,0.99178,0.38993,0.0043857,0.0093199,-2.78E-04,0,0
0.038576,0.99803,0.38946,0.0063903,0.013765,-8.42E-05,0,0
0.048951,1.0042,0.3945,0.0081274,0.018126,2.55E-04,0,0
0.051308,1.0103,0.40192,0.0085337,0.018809,3.24E-04,0,0
0.038211,1.0163,0.40918,0.0063614,0.014368,1.31E-04,0,0
0.0097984,1.0221,0.41548,0.0016314,0.0038519,-4.96E-04,0,0
0.072472,1.0278,0.42021,0.012113,0.027539,-3.18E-04,0,0
0.083292,1.0335,0.42487,0.013942,0.031985,-4.22E-04,0,0
0.010675,1.039,0.42944,0.0017828,0.004521,4.99E-04,0,0
0.058155,1.0444,0.43237,0.0097389,0.022095,2.95E-04,0,0
0.061424,1.0498,0.43491,0.010293,0.023442,2.22E-04,0,0
0.01979,1.0551,0.43743,0.0033119,0.0073363,-2.27E-06,0,0
0.032015,1.0603,0.43982,0.0053619,0.012453,-1.85E-04,0,0
0.042639,1.0655,0.44067,0.0071454,0.016558,3.21E-04,0,0
0.026631,1.0706,0.44152,0.0044597,0.0098746,-1.98E-04,0,0
0.0044784,1.0757,0.44236,7.49E-04,0.0015189,9.86E-05,0,0
0.033208,1.0807,0.443,0.0055599,0.013117,-1.92E-05,0,0
0.046432,1.0857,0.44251,0.0077751,0.017595,7.20E-06,0,0
0.024484,1.0907,0.44202,0.0040938,0.0092439,1.11E-04,0,0
0.021979,1.0956,0.44154,0.0036719,0.0087331,4.22E-04,0,0
0.069718,1.1005,0.44098,0.011661,0.026938,7.23E-05,0,0
0.056771,1.1054,0.43971,0.009481,0.021808,2.12E-07,0,0
0.01372,1.1103,0.43845,0.0022845,0.0051538,-6.14E-06,0,0
0.072336,1.1151,0.4372,0.01206,0.02743,4.88E-04,0,0
0.069768,1.1199,0.43596,0.011614,0.026823,-1.39E-04,0,0
0.0091493,1.1248,0.43387,0.0015167,0.0032189,2.45E-04,0,0
0.058553,1.1296,0.43177,0.0097108,0.022359,8.95E-05,0,0
0.061489,1.1344,0.42969,0.01018,0.0236,-1.93E-06,0,0
0.010676,1.1392,0.42761,0.0017601,0.0040527,-4.23E-04,0,0
0.018966,1.144,0.425,0.0031214,0.0072701,3.14E-04,0,0
0.020902,1.1488,0.42226,0.0034324,0.0078114,-2.75E-04,0,0
0.027561,1.1536,0.41954,0.004516,0.010433,2.93E-04,0,0
0.028639,1.1585,0.41682,0.0046806,0.010363,-6.94E-05,0,0
0.0072165,1.1633,0.4138,0.001175,0.0029357,-1.06E-05,0,0
0.04823,1.1682,0.41063,0.0078442,0.018005,5.69E-05,0,0
0.044311,1.173,0.40745,0.007183,0.015648,5.24E-05,0,0
0.0039054,1.1779,0.40427,6.30E-04,0.0011188,3.72E-04,0,0
0.039417,1.1828,0.40096,0.0063451,0.014011,8.92E-05,0,0
0.062567,1.1877,0.39755,0.010046,0.021674,4.62E-04,0,0
0.036877,1.1927,0.39413,0.0058912,0.012472,2.52E-04,0,0
0.019087,1.1976,0.39069,0.0030344,0.0068585,-3.86E-04,0,0
0.062654,1.2026,0.38723,0.0099385,0.021826,-4.53E-04,0,0
0.051062,1.2076,0.38376,0.0080596,0.017414,1.78E-04,0,0
0.0033617,1.2126,0.38028,5.27E-04,0.0011212,3.66E-04,0,0
0.027485,1.2177,0.37678,0.0042925,0.0087051,3.95E-04,0,0
0.040723,1.2228,0.37339,0.0063318,0.013725,-2.58E-04,0,0
0.026081,1.2279,0.37009,0.004031,0.0082296,1.99E-04,0,0
0.013967,1.233,0.36678,0.0021457,0.0041658,-1.76E-04,0,0
0.0085529,1.2381,0.36347,0.0013061,0.0024622,4.97E-04,0,0
0.051281,1.2433,0.36042,0.0078011,0.015842,7.74E-05,0,0
0.04683,1.2485,0.35753,0.0070788,0.014102,4.13E-04,0,0
5.78E-04,1.2537,0.35464,8.66E-05,5.64E-04,-2.91E-04,0,0
0.029638,1.259,0.35174,0.0044188,0.0083099,1.23E-05,0,0
0.038288,1.2642,0.34939,0.0056722,0.011007,-1.91E-04,0,0
0.028982,1.2695,0.34719,0.0042616,0.0079894,-5.48E-06,0,0
0.0010862,1.2748,0.34498,1.58E-04,2.29E-04,-2.81E-04,0,0
0.020337,1.28,0.34278,0.0029457,0.0055034,-1.40E-04,0,0
0.026847,1.2853,0.34151,0.0038606,0.0067147,1.25E-04,0,0
0.02238,1.2906,0.34025,0.0031924,0.0059136,4.79E-05,0,0
0.0086528,1.2959,0.33899,0.0012236,0.00206,3.67E-04,0,0
0.023971,1.3011,0.33785,0.003365,0.0055855,-4.49E-04,0,0
0.046467,1.3064,0.33715,0.0064772,0.011401,4.76E-04,0,0
0.030909,1.3116,0.33645,0.0042686,0.0072035,4.97E-04,0,0
0.015935,1.3168,0.33575,0.0021799,0.0039473,4.33E-04,0,0
0.049603,1.322,0.33506,0.0067396,0.010948,2.08E-04,0,0
0.064152,1.3273,0.33436,0.0086462,0.013938,1.51E-04,0,0
0.034376,1.3325,0.33368,0.0045836,0.0072722,2.28E-04,0,0
0.02319,1.3376,0.333,0.0030621,0.0045541,-3.25E-04,0,0
0.059653,1.3428,0.33232,0.007821,0.01155,-1.72E-04,0,0
0.060497,1.3479,0.33165,0.0078583,0.011291,1.12E-04,0,0
0.030721,1.3531,0.33098,0.0039458,0.0058133,4.79E-04,0,0
0.0093962,1.3582,0.33031,0.0011938,0.0016333,-2.24E-04,0,0
0.029535,1.3633,0.32965,0.0037211,0.0045941,-1.98E-04,0,0
0.038916,1.3684,0.329,0.0048586,0.0067891,6.56E-05,0,0
0.02244,1.3735,0.32835,0.0027715,0.0037658,4.86E-04,0,0
7.95E-04,1.3786,0.3277,9.70E-05,-3.67E-04,-4.49E-04,0,0
0.01096,1.3836,0.32705,0.0013263,0.0014513,-3.18E-04,0,0
0.021179,1.3887,0.32641,0.0025394,0.0031352,-2.01E-04,0,0
0.017557,1.3937,0.32577,0.0020838,0.0026,3.69E-04,0,0
0.0014281,1.3988,0.32513,1.68E-04,6.24E-04,4.04E-04,0,0
0.0038515,1.4038,0.3245,4.48E-04,5.00E-04,1.93E-04,0,0
0.0033794,1.4088,0.32387,3.89E-04,3.32E-05,-2.44E-04,0,0
0.015602,1.4139,0.32324,0.0017798,0.002102,2.77E-04,0,0
0.024938,1.4189,0.32261,0.0028189,0.0024161,2.48E-05,0,0
0.022776,1.4239,0.32199,0.0025492,0.0021131,-4.94E-04,0,0
0.01519,1.4289,0.32137,0.0016831,0.0017484,-1.35E-04,0,0
0.0084234,1.4338,0.32075,9.24E-04,7.73E-04,-2.20E-04,0,0
0.0081764,1.4388,0.32014,8.89E-04,4.17E-04,3.50E-04,0,0
0.026285,1.4438,0.31953,0.0028342,0.0015499,-2.51E-04,0,0
0.033152,1.4487,0.31892,0.0035444,0.0022229,-3.78E-04,0,0
0.03919,1.4537,0.31832,0.0041552,0.0025871,-4.92E-04,0,0
0.040562,1.4586,0.31772,0.0042645,0.0018094,-2.34E-04,0,0
0.024938,1.4635,0.31712,0.002597,9.09E-04,-2.24E-04,0,0
7.11E-04,1.4685,0.31652,7.33E-05,-3.81E-04,4.13E-04,0,0
0.021794,1.4734,0.31592,0.0022333,5.65E-04,4.34E-05,0,0
0.034315,1.4783,0.31533,0.003494,0.0012739,-4.42E-04,0,0
0.050786,1.4833,0.31474,0.0051414,0.0014297,1.87E-04,0,0
0.055172,1.4882,0.31415,0.0055502,0.0015651,1.02E-04,0,0
0.043765,1.4931,0.31357,0.0043714,0.0014036,6.57E-05,0,0
0.030713,1.498,0.31298,0.0030467,0.0011077,-3.79E-04,0,0
0.021865,1.5028,0.3124,0.0021565,5.24E-05,-4.14E-04,0,0
0.0073719,1.5077,0.31182,7.23E-04,3.19E-04,-1.47E-04,0,0
0.00637,1.5126,0.31125,6.22E-04,6.53E-05,-2.61E-04,0,0
0.010025,1.5175,0.31067,9.74E-04,5.22E-04,4.09E-04,0,0
0.011099,1.5224,0.3101,0.0010732,5.83E-04,1.08E-04,0,0
0.0082674,1.5272,0.30953,7.95E-04,-3.26E-04,2.11E-04,0,0
0.004113,1.5321,0.30896,3.94E-04,5.08E-04,3.55E-04,0,0
0.0069615,1.537,0.30839,6.63E-04,1.83E-04,1.42E-04,0,0
0.020749,1.5418,0.30783,0.0019694,1.86E-04,1.76E-04,0,0
0.01741,1.5467,0.30726,0.001644,3.87E-04,4.33E-04,0,0
0.022702,1.5515,0.3067,0.0021341,-4.74E-04,2.26E-04,0,0
0.04033,1.5564,0.30615,0.0037785,-8.77E-04,2.58E-04,0,0
0.051288,1.5612,0.30559,0.0047861,-5.55E-04,-4.76E-04,0,0
0.061056,1.5661,0.30503,0.0056743,-5.59E-04,6.44E-05,0,0
0.069239,1.5709,0.30448,0.0064073,-9.80E-04,-1.76E-04,0,0
0.065347,1.5758,0.30393,0.0060149,-0.0016153,1.18E-04,0,0
0.066645,1.5806,0.30337,0.0061043,-0.0018183,4.62E-04,0,0
0.097769,1.5855,0.30283,0.0089343,-0.0019444,-2.29E-04,0,0
0.13559,1.5903,0.30228,0.012369,-0.0039025,1.75E-04,0,0
0.16995,1.5951,0.30173,0.015471,-0.0053261,-4.01E-05,0,0
0.21725,1.5999,0.30119,0.019759,-0.0065765,3.92E-04,0,0
0.27953,1.6048,0.30065,0.02546,-0.0094459,4.16E-04,0,0
0.37867,1.6096,0.30011,0.034652,-0.014075,4.98E-04,0,0
0.51363,1.6144,0.29957,0.047368,-0.019714,1.04E-04,0,0
0.68803,1.6192,0.29903,0.064156,-0.027803,-4.27E-04,0,0
0.93481,1.6241,0.2985,0.088665,-0.040875,3.88E-04,0,0
1.3118,1.6288,0.29797,0.1279,-0.060053,9.89E-05,0,0
1.8381,1.6335,0.29745,0.18631,-0.088699,4.06E-04,0,0
2.3126,1.6366,0.29711,0.24267,-0.11424,1.42E-04,0,0
2.7763,1.6389,0.29686,0.30122,-0.14077,1.83E-04,0,0
3.224,1.6407,0.29666,0.36102,-0.16663,-4.89E-04,0,0
3.6605,1.6422,0.2965,0.42245,-0.19133,-4.18E-05,0,0
4.0906,1.6434,0.29636,0.48602,-0.21483,3.77E-04,0,0
4.5151,1.6444,0.29625,0.55176,-0.23792,2.33E-04,0,0
4.935,1.6452,0.29616,0.61972,-0.26093,-1.15E-04,0,0
5.3525,1.6459,0.29609,0.69018,-0.28269,4.99E-05,0,0
5.769,1.6465,0.29602,0.76341,-0.30324,2.15E-04,0,0
6.186,1.6469,0.29597,0.83965,-0.3226,-1.61E-05,0,0
6.6077,1.6473,0.29593,0.91976,-0.3416,-3.66E-04,0,0
7.0302,1.6476,0.29591,1.0031,-0.35867,3.66E-04,0,0
7.4553,1.6477,0.29589,1.09,-0.37468,1.53E-05,0,0
7.8834,1.6478,0.29588,1.1807,-0.38892,2.24E-04,0,0
8.3157,1.6478,0.29588,1.2755,-0.40059,3.24E-04,0,0
8.7544,1.6477,0.29589,1.375,-0.41075,4.44E-04,0,0
9.2001,1.6474,0.29592,1.4796,-0.41941,-4.17E-04,0,0
9.6537,1.6471,0.29595,1.5897,-0.42383,-3.36E-04,0,0
10.119,1.6467,0.296,1.7063,-0.42603,-1.88E-04,0,0
10.597,1.6462,0.29606,1.8303,-0.4249,3.77E-04,0,0
11.09,1.6455,0.29613,1.9628,-0.4196,4.31E-04,0,0
11.604,1.6447,0.29622,2.1053,-0.40826,-2.33E-04,0,0
12.146,1.6436,0.29634,2.2608,-0.39075,-3.57E-04,0,0
12.725,1.6423,0.29648,2.4334,-0.3642,-2.33E-04,0,0
13.358,1.6407,0.29666,2.6291,-0.32572,2.94E-04,0,0
14.072,1.6384,0.29691,2.8595,-0.26918,-1.71E-04,0,0
14.937,1.6352,0.29726,3.1519,-0.1774,-3.11E-04,0,0
16.191,1.6293,0.29792,3.6046,0.0052975,-6.86E-05,0,0
17.743,1.6185,0.29911,4.2157,0.34663,-9.89E-05,0,0
18.234,1.6137,0.29964,4.4233,0.49503,3.01E-04,0,0
18.537,1.6102,0.30004,4.5555,0.59995,3.84E-05,0,0
18.757,1.6071,0.30039,4.6544,0.68675,3.56E-04,0,0
18.925,1.6043,0.3007,4.7318,0.76058,-1.02E-05,0,0
19.054,1.6018,0.30099,4.7934,0.82569,3.76E-04,0,0
19.156,1.5994,0.30126,4.8441,0.88967,1.42E-04,0,0
19.233,1.5971,0.30151,4.8876,0.96418,3.97E-04,0,0
19.29,1.595,0.30175,4.9216,1.0298,-4.29E-04,0,0
19.329,1.593,0.30197,4.9479,1.0899,-1.84E-04,0,0
19.354,1.5911,0.30219,4.9674,1.1437,2.02E-04,0,0
19.365,1.5893,0.30239,4.9809,1.1931,2.38E-04,0,0
19.365,1.5876,0.30259,4.989,1.2367,4.48E-04,0,0
19.354,1.5859,0.30278,4.9922,1.2757,2.75E-05,0,0
19.333,1.5843,0.30296,4.9909,1.3106,-1.86E-04,0,0
19.302,1.5827,0.30314,4.9852,1.3418,9.38E-05,0,0
19.262,1.5811,0.30332,4.9752,1.3709,-1.83E-05,0,0
19.212,1.5795,0.3035,4.9607,1.3955,3.95E-04,0,0
19.152,1.578,0.30367,4.9419,1.4159,-1.41E-04,0,0
19.082,1.5764,0.30385,4.9186,1.4335,-3.37E-04,0,0
19.002,1.5749,0.30402,4.8909,1.4475,1.07E-04,0,0
18.913,1.5734,0.30419,4.8589,1.4576,-1.44E-04,0,0
18.814,1.572,0.30436,4.8227,1.464,-3.58E-04,0,0
18.705,1.5705,0.30452,4.7824,1.467,-1.68E-04,0,0
18.586,1.5691,0.30469,4.7379,1.4661,-3.98E-04,0,0
18.459,1.5677,0.30485,4.6894,1.4612,-2.63E-04,0,0
18.322,1.5664,0.305,4.637,1.4533,2.91E-04,0,0
18.177,1.565,0.30515,4.581,1.4415,-3.69E-04,0,0
18.022,1.5637,0.3053,4.5214,1.4269,-4.00E-04,0,0
17.859,1.5625,0.30545,4.4584,1.4084,-1.77E-04,0,0
17.689,1.5613,0.30559,4.3922,1.3871,3.91E-04,0,0
17.51,1.5601,0.30572,4.323,1.362,4.37E-04,0,0
17.323,1.5589,0.30585,4.2509,1.334,3.61E-04,0,0
17.128,1.5578,0.30598,4.1756,1.3035,-3.05E-04,0,0
16.92,1.5567,0.30611,4.0958,1.2689,-1.22E-04,0,0
16.699,1.5556,0.30624,4.0114,1.2299,4.28E-04,0,0
16.462,1.5545,0.30636,3.9218,1.1885,2.84E-04,0,0
16.21,1.5535,0.30648,3.8269,1.1425,3.04E-04,0,0
15.94,1.5524,0.3066,3.726,1.0937,1.82E-04,0,0
15.65,1.5514,0.30672,3.6187,1.0404,2.86E-04,0,0
15.337,1.5503,0.30684,3.5042,0.98277,1.78E-04,0,0
14.997,1.5493,0.30696,3.3816,0.92085,-1.97E-04,0,0
14.626,1.5483,0.30708,3.2498,0.85428,-3.83E-04,0,0
14.218,1.5473,0.30719,3.1074,0.78327,1.53E-04,0,0
13.765,1.5464,0.3073,2.9524,0.70739,-2.26E-04,0,0
13.255,1.5455,0.30741,2.7823,0.62538,-3.76E-04,0,0
12.672,1.5446,0.30751,2.593,0.53731,2.61E-05,0,0
11.986,1.5437,0.30761,2.3784,0.44253,-1.65E-04,0,0
11.151,1.543,0.3077,2.1282,0.33873,4.95E-04,0,0
10.065,1.5424,0.30777,1.8219,0.22578,-1.92E-04,0,0
8.4695,1.5421,0.30779,1.4116,0.099296,-3.34E-04,0,0
6.1886,1.543,0.30769,0.90616,-0.0075817,2.54E-04,0,0
3.0481,1.546,0.30735,0.36358,-0.052066,4.72E-04,0,0
0.026335,1.5501,0.30687,0.00248,0.044434,-3.72E-04,0,0
2.9096,1.5543,0.30639,0.34123,0.023398,3.56E-04,0,0
5.5688,1.5577,0.30599,0.77616,0.016617,1.53E-04,0,0
7.9432,1.5596,0.30577,1.2689,0.060077,-1.93E-04,0,0
9.9491,1.5594,0.30579,1.7664,0.16488,2.03E-04,0,0
10.768,1.5584,0.30591,1.9924,0.23659,-1.35E-04,0,0
11.233,1.5574,0.30603,2.1275,0.28848,5.30E-05,0,0
11.541,1.5563,0.30615,2.2201,0.33,9.75E-05,0,0
11.756,1.5553,0.30628,2.2862,0.36301,2.50E-06,0,0
