# Angle of attack (°),Mach number (?),Drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?)
11.904,1.5542,0.30639,2.3329,0.38947,-4.45E-04,0,0
12,1.5532,0.30651,2.3644,0.41042,4.52E-04,0,0
12.055,1.5523,0.30662,2.3832,0.42643,1.94E-04,0,0
12.076,1.5513,0.30673,2.3913,0.43753,-2.46E-04,0,0
12.063,1.5504,0.30683,2.3891,0.44474,2.73E-04,0,0
12.02,1.5495,0.30694,2.3775,0.44792,2.83E-04,0,0
11.948,1.5487,0.30704,2.357,0.44624,2.23E-04,0,0
11.847,1.5478,0.30713,2.3277,0.44117,2.30E-04,0,0
11.717,1.547,0.30723,2.2897,0.4323,4.90E-04,0,0
11.555,1.5462,0.30732,2.2423,0.41891,-3.83E-04,0,0
11.361,1.5455,0.3074,2.1857,0.40169,-1.50E-04,0,0
11.131,1.5448,0.30748,2.1193,0.38133,3.80E-05,0,0
10.863,1.5442,0.30756,2.0426,0.35707,-3.04E-04,0,0
10.55,1.5436,0.30762,1.9544,0.32775,-3.83E-04,0,0
10.181,1.5431,0.30768,1.8528,0.29396,-2.01E-04,0,0
9.7439,1.5427,0.30773,1.735,0.25548,-3.03E-04,0,0
9.2138,1.5425,0.30775,1.5968,0.21175,4.09E-05,0,0
8.5496,1.5426,0.30774,1.4306,0.16334,-2.59E-04,0,0
7.6774,1.5431,0.30768,1.2245,0.10727,-3.82E-04,0,0
6.3845,1.5448,0.30749,0.94442,0.045832,-3.19E-05,0,0
4.5727,1.5486,0.30704,0.603,-0.0029098,2.23E-04,0,0
2.9422,1.5536,0.30647,0.34606,-0.019113,1.99E-04,0,0
1.5263,1.5592,0.30583,0.16088,-0.016303,-3.07E-04,0,0
0.24725,1.5648,0.30518,0.023375,-0.0060963,4.34E-04,0,0
0.91498,1.5705,0.30453,0.090905,-0.0086444,-3.66E-04,0,0
1.9804,1.5762,0.30387,0.21274,-0.02979,-3.48E-04,0,0
3.0425,1.5817,0.30325,0.35164,-0.057526,-4.81E-04,0,0
4.1598,1.5867,0.30268,0.51703,-0.087971,3.28E-04,0,0
5.1177,1.5902,0.30228,0.67504,-0.11194,-2.49E-04,0,0
5.9404,1.5926,0.30202,0.82302,-0.12998,1.74E-04,0,0
6.7048,1.5942,0.30183,0.9709,-0.14144,2.12E-04,0,0
7.4433,1.5955,0.30169,1.1234,-0.14691,-3.90E-04,0,0
8.1942,1.5963,0.3016,1.2883,-0.14609,-2.26E-04,0,0
8.9941,1.5966,0.30157,1.4754,-0.13566,4.47E-04,0,0
9.8817,1.5962,0.30161,1.6971,-0.10908,2.82E-04,0,0
10.974,1.5948,0.30176,1.9908,-0.050356,3.01E-04,0,0
12.427,1.5906,0.30225,2.421,0.093146,-4.79E-04,0,0
13.241,1.5854,0.30283,2.6866,0.2341,2.23E-04,0,0
13.45,1.5829,0.30311,2.7598,0.28973,-3.59E-04,0,0
13.557,1.5809,0.30335,2.7997,0.3292,5.79E-05,0,0
13.602,1.579,0.30356,2.819,0.35944,-4.31E-04,0,0
13.601,1.5773,0.30376,2.8227,0.38087,2.21E-05,0,0
13.562,1.5756,0.30394,2.8137,0.39592,-1.21E-04,0,0
13.49,1.5741,0.30411,2.7935,0.40563,4.53E-06,0,0
13.387,1.5727,0.30428,2.7631,0.41042,-3.54E-04,0,0
13.254,1.5713,0.30443,2.723,0.40978,9.08E-05,0,0
13.092,1.57,0.30458,2.6733,0.40335,-2.29E-04,0,0
12.898,1.5687,0.30473,2.6139,0.39352,-1.90E-04,0,0
12.671,1.5675,0.30487,2.5444,0.37859,2.71E-04,0,0
12.407,1.5664,0.30499,2.4641,0.358,-3.96E-04,0,0
12.1,1.5653,0.30512,2.3717,0.33388,5.18E-05,0,0
11.743,1.5644,0.30523,2.2655,0.3041,1.82E-05,0,0
11.32,1.5635,0.30533,2.1424,0.26711,-3.54E-04,0,0
10.812,1.5628,0.30541,1.998,0.22512,1.19E-04,0,0
10.185,1.5623,0.30547,1.8256,0.17529,4.29E-04,0,0
9.3685,1.5621,0.30549,1.6114,0.11752,-3.73E-04,0,0
8.1653,1.5626,0.30543,1.3172,0.048595,-2.00E-04,0,0
6.4919,1.5651,0.30515,0.95079,-0.01593,2.81E-04,0,0
4.9631,1.5693,0.30467,0.65971,-0.045715,-1.52E-04,0,0
3.7224,1.5745,0.30408,0.45396,-0.052228,-8.33E-05,0,0
2.7524,1.58,0.30344,0.31201,-0.048919,-2.36E-05,0,0
1.9969,1.586,0.30276,0.21284,-0.042021,-2.24E-04,0,0
1.4169,1.5921,0.30207,0.14351,-0.034514,1.20E-05,0,0
0.98495,1.5982,0.30139,0.095771,-0.026819,-4.70E-04,0,0
0.65043,1.6044,0.30069,0.06118,-0.018687,2.78E-04,0,0
0.3899,1.6106,0.3,0.035686,-0.012159,-4.65E-04,0,0
0.19054,1.6166,0.29932,0.017052,-0.0069095,1.46E-04,0,0
0.025221,1.6227,0.29864,0.0022128,-0.0013126,-2.30E-04,0,0
0.13467,1.6287,0.29798,0.011872,-0.0046775,-4.42E-04,0,0
0.30512,1.6349,0.29729,0.027168,-0.012587,1.89E-04,0,0
0.50579,1.6412,0.2966,0.0456,-0.022415,1.82E-05,0,0
0.75042,1.6474,0.29592,0.06876,-0.034766,3.32E-04,0,0
1.0892,1.6538,0.29522,0.10221,-0.054205,-4.38E-04,0,0
1.5383,1.6598,0.29457,0.14915,-0.080536,-2.28E-04,0,0
2.076,1.6649,0.29401,0.20938,-0.11418,1.96E-04,0,0
2.5684,1.6685,0.29363,0.26847,-0.14533,-1.73E-04,0,0
3.0384,1.6712,0.29333,0.32841,-0.17596,3.14E-04,0,0
3.4897,1.6733,0.2931,0.38929,-0.20548,-3.24E-04,0,0
3.9275,1.6749,0.29293,0.4515,-0.23269,-4.24E-04,0,0
4.362,1.6763,0.29278,0.51631,-0.26019,1.68E-04,0,0
4.7929,1.6774,0.29266,0.58363,-0.28742,-2.31E-04,0,0
5.2222,1.6784,0.29255,0.65371,-0.31297,-1.46E-04,0,0
5.6501,1.6792,0.29247,0.7266,-0.3387,1.39E-04,0,0
6.0761,1.6799,0.29239,0.80217,-0.36211,-2.57E-04,0,0
6.5027,1.6804,0.29233,0.88087,-0.38601,-3.06E-04,0,0
6.9293,1.6809,0.29229,0.96262,-0.40771,2.76E-04,0,0
7.3589,1.6812,0.29225,1.048,-0.42843,-2.38E-05,0,0
7.7903,1.6815,0.29222,1.1369,-0.44724,2.83E-05,0,0
8.2247,1.6817,0.2922,1.2296,-0.4648,-1.84E-04,0,0
8.6627,1.6818,0.29219,1.3264,-0.48032,-3.70E-04,0,0
9.1056,1.6818,0.29219,1.4275,-0.49344,-4.52E-04,0,0
9.5548,1.6816,0.2922,1.5336,-0.50572,4.14E-04,0,0
10.009,1.6814,0.29223,1.6445,-0.51362,2.10E-04,0,0
10.473,1.6811,0.29226,1.7613,-0.52022,2.80E-04,0,0
10.946,1.6807,0.29231,1.8845,-0.5221,2.05E-04,0,0
11.433,1.6801,0.29237,2.0153,-0.52111,2.87E-04,0,0
11.935,1.6794,0.29244,2.1548,-0.51496,-5.71E-05,0,0
12.458,1.6786,0.29253,2.3046,-0.50318,4.67E-04,0,0
13.006,1.6776,0.29264,2.4671,-0.48468,-4.71E-05,0,0
13.587,1.6763,0.29278,2.6456,-0.45724,3.57E-04,0,0
14.216,1.6747,0.29295,2.8456,-0.41857,-3.46E-05,0,0
14.913,1.6727,0.29317,3.0761,-0.36294,-2.37E-04,0,0
15.723,1.67,0.29346,3.3558,-0.2778,4.71E-04,0,0
16.775,1.6657,0.29393,3.7391,-0.13283,2.37E-04,0,0
18.276,1.6576,0.29481,4.327,0.16218,2.51E-04,0,0
19.769,1.6457,0.29611,4.9678,0.60072,-2.20E-04,0,0
20.108,1.642,0.29652,5.1056,0.63172,3.77E-04,0,0
20.403,1.6383,0.29692,5.1963,0.48136,2.71E-04,0,0
20.758,1.6334,0.29747,5.3087,0.31097,1.89E-04,0,0
21.244,1.6256,0.29833,5.4674,0.096741,1.16E-04,0,0
21.925,1.6133,0.29969,5.6982,-0.17424,-2.57E-04,0,0
22.826,1.5967,0.30156,6.0186,-0.48002,-3.84E-04,0,0
23.195,1.5901,0.30229,6.1619,-0.54735,2.28E-04,0,0
23.543,1.5842,0.30297,6.2972,-0.61829,-4.34E-04,0,0
23.873,1.5787,0.30359,6.4256,-0.69056,-1.36E-04,0,0
24.189,1.5737,0.30416,6.5484,-0.7639,-4.32E-04,0,0
24.492,1.569,0.3047,6.6667,-0.83862,-2.36E-04,0,0
24.785,1.5645,0.30521,6.781,-0.91402,-4.26E-04,0,0
25.069,1.5604,0.30569,6.8922,-0.9913,2.74E-04,0,0
25.346,1.5564,0.30614,7.0005,-1.0696,1.44E-04,0,0
25.616,1.5526,0.30658,7.1064,-1.1478,2.85E-04,0,0
25.88,1.549,0.30699,7.2102,-1.2274,-6.55E-05,0,0
26.139,1.5456,0.30739,7.3122,-1.308,1.22E-05,0,0
26.394,1.5423,0.30778,7.4126,-1.3886,-9.39E-05,0,0
26.645,1.5391,0.30815,7.5117,-1.4702,-2.41E-04,0,0
26.892,1.536,0.30851,7.6094,-1.5518,-2.49E-04,0,0
27.136,1.533,0.30886,7.7062,-1.6344,1.39E-04,0,0
27.377,1.5301,0.3092,7.802,-1.7174,4.78E-05,0,0
27.624,1.5271,0.30954,7.9005,-1.8031,2.81E-04,0,0
27.881,1.5242,0.30989,8.0028,-1.8944,-3.63E-04,0,0
28.146,1.5211,0.31024,8.1091,-1.9889,-4.97E-04,0,0
28.422,1.5181,0.31061,8.2196,-2.0894,-2.83E-04,0,0
28.708,1.5149,0.31098,8.3346,-2.1949,-4.08E-05,0,0
29.004,1.5117,0.31136,8.4543,-2.3052,1.70E-04,0,0
29.312,1.5084,0.31174,8.579,-2.4204,-2.41E-04,0,0
29.632,1.5051,0.31214,8.7089,-2.5418,-4.01E-04,0,0
29.964,1.5017,0.31254,8.8443,-2.6702,6.07E-05,0,0
30.309,1.4982,0.31296,8.9803,-2.8346,-4.01E-04,0,0
30.669,1.4946,0.31338,9.1176,-3.0342,-3.66E-04,0,0
31.043,1.491,0.31382,9.2615,-3.2419,-2.58E-04,0,0
31.434,1.4872,0.31426,9.4126,-3.4572,4.00E-04,0,0
31.842,1.4834,0.31472,9.5712,-3.6805,-2.07E-04,0,0
32.268,1.4795,0.31519,9.7379,-3.9135,4.41E-04,0,0
32.714,1.4755,0.31567,9.9133,-4.1556,-3.60E-04,0,0
33.18,1.4714,0.31616,10.098,-4.4074,-1.70E-05,0,0
33.668,1.4672,0.31667,10.292,-4.669,4.52E-04,0,0
34.179,1.4629,0.3172,10.497,-4.9418,-1.50E-04,0,0
34.714,1.4584,0.31774,10.712,-5.2253,-4.40E-04,0,0
35.275,1.4538,0.3183,10.94,-5.5202,-1.04E-04,0,0
35.862,1.4491,0.31887,11.179,-5.8263,-4.45E-04,0,0
36.478,1.4443,0.31947,11.432,-6.1444,-9.78E-05,0,0
37.123,1.4392,0.32009,11.698,-6.4741,1.19E-04,0,0
37.8,1.4341,0.32073,11.978,-6.8166,4.51E-04,0,0
38.509,1.4287,0.32139,12.273,-7.1704,6.66E-05,0,0
39.253,1.4232,0.32208,12.584,-7.5371,2.75E-04,0,0
40.032,1.4174,0.32279,12.912,-7.9154,1.18E-04,0,0
40.849,1.4115,0.32353,13.256,-8.3056,-4.26E-04,0,0
41.705,1.4054,0.3243,13.618,-8.7072,-1.09E-04,0,0
42.603,1.399,0.3251,13.998,-9.1189,-1.96E-04,0,0
43.543,1.3924,0.32594,14.397,-9.5417,-3.83E-04,0,0
44.528,1.3855,0.32681,14.815,-9.9735,4.46E-04,0,0
45.56,1.3784,0.32772,15.253,-10.414,7.79E-05,0,0
46.64,1.371,0.32867,15.71,-10.86,2.41E-04,0,0
47.771,1.3633,0.32966,16.187,-11.312,2.67E-04,0,0
48.955,1.3553,0.33069,16.683,-11.767,4.00E-04,0,0
50.194,1.347,0.33177,17.199,-12.224,2.72E-04,0,0
51.489,1.3384,0.33289,17.733,-12.678,2.82E-04,0,0
52.844,1.3295,0.33407,18.285,-13.13,-1.16E-04,0,0
54.26,1.3203,0.33529,18.853,-13.572,5.56E-05,0,0
55.74,1.3107,0.33657,19.435,-14.003,4.23E-04,0,0
57.285,1.3008,0.3379,20.03,-14.417,-1.78E-04,0,0
58.898,1.2905,0.34027,20.634,-14.81,2.87E-04,0,0
60.582,1.2799,0.34282,21.245,-15.175,-2.84E-04,0,0
62.337,1.269,0.34739,21.858,-15.506,-2.67E-04,0,0
64.166,1.2578,0.35239,22.468,-15.796,4.80E-04,0,0
66.071,1.2463,0.35877,23.07,-16.038,3.67E-04,0,0
68.053,1.2345,0.3658,23.658,-16.222,7.67E-06,0,0
70.115,1.2225,0.37356,24.224,-16.339,-1.33E-04,0,0
72.256,1.2103,0.38191,24.761,-16.38,3.63E-04,0,0
74.479,1.1979,0.39051,25.261,-16.335,4.24E-04,0,0
76.783,1.1853,0.39921,25.713,-16.193,-2.30E-04,0,0
79.169,1.1727,0.40766,26.108,-15.944,4.04E-04,0,0
81.638,1.1601,0.4159,26.435,-15.577,7.95E-05,0,0
84.188,1.1475,0.42303,26.685,-15.082,-2.59E-04,0,0
86.816,1.135,0.42944,26.845,-14.452,2.01E-04,0,0
89.521,1.1226,0.43479,26.908,-13.679,-4.59E-04,0,0
92.3,1.1105,0.43838,26.862,-12.756,1.21E-05,0,0
95.149,1.0987,0.44124,26.701,-11.683,4.17E-04,0,0
98.062,1.0873,0.44235,26.419,-10.459,2.44E-04,0,0
101.04,1.0763,0.44246,26.01,-9.086,4.60E-05,0,0
104.06,1.0658,0.44071,25.475,-7.5723,-1.71E-04,0,0
107.13,1.0558,0.43777,24.814,-5.927,4.43E-04,0,0
110.25,1.0464,0.43332,24.032,-4.1644,2.34E-04,0,0
113.39,1.0376,0.42833,23.136,-2.3002,4.65E-04,0,0
116.57,1.0295,0.42157,22.13,-0.34302,2.54E-04,0,0
119.76,1.0219,0.41536,21.035,1.6736,3.29E-05,0,0
122.96,1.0151,0.40773,19.865,3.7289,-2.13E-04,0,0
126.16,1.0088,0.40011,18.635,5.803,-4.24E-04,0,0
129.32,1.0033,0.39332,17.376,7.8509,8.01E-05,0,0
132.46,0.99832,0.38944,16.099,9.8673,2.02E-04,0,0
135.57,0.99392,0.38977,14.821,11.832,-5.77E-05,0,0
138.64,0.99003,0.39006,13.56,13.726,8.80E-05,0,0
141.66,0.98662,0.39032,12.334,15.533,4.39E-04,0,0
144.64,0.98364,0.39055,11.157,17.241,-4.05E-04,0,0
147.56,0.98104,0.39075,10.041,18.839,-4.48E-04,0,0
150.43,0.97877,0.39093,8.9971,20.321,-3.97E-04,0,0
153.23,0.97679,0.39108,8.0325,21.684,3.16E-04,0,0
155.97,0.97505,0.39122,7.1533,22.922,-4.29E-04,0,0
158.64,0.97353,0.39134,6.3634,24.038,-7.29E-05,0,0
161.24,0.97217,0.39144,5.6639,25.03,-1.82E-04,0,0
163.77,0.97097,0.39154,5.0551,25.901,3.23E-04,0,0
166.24,0.96988,0.39162,4.5364,26.662,-4.68E-04,0,0
168.63,0.96889,0.3917,4.1051,27.316,-2.58E-04,0,0
170.95,0.968,0.39177,3.7578,27.871,3.59E-06,0,0
173.2,0.96717,0.39184,3.4899,28.333,-2.31E-04,0,0
175.38,0.9664,0.3919,3.2966,28.709,6.61E-04,0,0
177.49,0.96568,0.39195,3.1725,29.006,8.09E-04,0,0
179.53,0.96501,0.39201,3.112,29.212,0.019269,0,0
178.57,0.96435,0.39206,3.1318,5.4607,0.0013018,0,0
176.68,0.96367,0.39211,3.2095,4.2979,1.29E-04,0,0
174.78,0.96294,0.39217,3.338,3.118,1.29E-04,0,0
172.2,0.96188,0.39226,3.593,1.4933,2.58E-04,0,0
169.3,0.96058,0.39236,3.9866,-0.34808,5.19E-04,0,0
166.41,0.95913,0.39248,4.4874,-2.195,-3.67E-04,0,0
163.54,0.95752,0.39261,5.0883,-4.0357,9.49E-05,0,0
161.56,0.95628,0.39271,5.5595,-5.3035,1.25E-04,0,0
159.71,0.95501,0.39281,6.0384,-6.4824,2.76E-04,0,0
157.89,0.95365,0.39292,6.5468,-7.6437,-3.09E-04,0,0
156.09,0.95216,0.39304,7.081,-8.7805,2.69E-04,0,0
154.32,0.95056,0.39317,7.6368,-9.8889,2.29E-04,0,0
152.57,0.94883,0.39331,8.2098,-10.967,-1.62E-04,0,0
150.86,0.94695,0.39346,8.7959,-12.01,3.00E-04,0,0
149.18,0.94494,0.39363,9.391,-13.016,6.69E-05,0,0
147.54,0.94277,0.3938,9.9912,-13.984,6.90E-05,0,0
145.94,0.94045,0.39399,10.593,-14.911,-3.83E-04,0,0
144.37,0.93796,0.3942,11.192,-15.796,-9.93E-06,0,0
142.85,0.93532,0.39442,11.787,-16.638,-4.97E-05,0,0
141.36,0.93252,0.39465,12.373,-17.437,-3.00E-04,0,0
139.92,0.92955,0.3949,12.948,-18.191,2.58E-05,0,0
138.52,0.92643,0.39516,13.51,-18.901,-3.59E-04,0,0
137.17,0.92315,0.39544,14.057,-19.567,-2.77E-05,0,0
135.86,0.91973,0.39573,14.586,-20.191,-9.48E-05,0,0
134.6,0.91616,0.39604,15.098,-20.772,2.30E-04,0,0
133.38,0.91245,0.39635,15.59,-21.313,-1.97E-04,0,0
132.21,0.90861,0.39668,16.062,-21.814,-3.33E-04,0,0
131.09,0.90465,0.39703,16.513,-22.277,-3.51E-04,0,0
130.01,0.90057,0.39738,16.944,-22.704,1.67E-04,0,0
128.98,0.89639,0.39602,17.352,-23.096,2.78E-04,0,0
127.99,0.8921,0.39449,17.739,-23.454,1.91E-04,0,0
127.05,0.88774,0.39299,18.104,-23.78,-2.22E-04,0,0
126.16,0.88329,0.39154,18.448,-24.077,-1.89E-04,0,0
125.31,0.87877,0.39013,18.77,-24.345,-5.17E-05,0,0
124.51,0.87419,0.38877,19.072,-24.586,-2.85E-04,0,0
123.75,0.86955,0.38744,19.352,-24.803,-2.11E-05,0,0
123.04,0.86487,0.38616,19.613,-24.996,-3.13E-04,0,0
122.38,0.86016,0.38492,19.854,-25.168,-1.46E-04,0,0
121.76,0.85542,0.38372,20.077,-25.32,6.22E-05,0,0
121.18,0.85065,0.38256,20.28,-25.452,-2.10E-05,0,0
120.65,0.84588,0.38143,20.465,-25.568,-3.56E-04,0,0
120.16,0.84109,0.38035,20.633,-25.667,-4.75E-04,0,0
119.72,0.8363,0.3793,20.785,-25.753,-3.94E-04,0,0
119.31,0.83152,0.37828,20.921,-25.826,2.65E-06,0,0
118.95,0.82675,0.3773,21.04,-25.886,-1.38E-04,0,0
118.64,0.82199,0.37635,21.144,-25.935,-4.45E-04,0,0
118.36,0.81726,0.37543,21.233,-25.972,4.07E-04,0,0
118.13,0.81255,0.37454,21.307,-26,4.74E-04,0,0
117.94,0.80787,0.37368,21.366,-26.018,1.29E-04,0,0
117.79,0.80323,0.37285,21.411,-26.028,4.38E-04,0,0
117.68,0.79862,0.37205,21.442,-26.029,-3.96E-04,0,0
117.61,0.79406,0.37128,21.46,-26.023,-2.74E-05,0,0
117.59,0.78955,0.37053,21.464,-26.009,3.49E-04,0,0
117.6,0.78508,0.3698,21.455,-25.987,-3.61E-04,0,0
117.65,0.78066,0.3691,21.433,-25.958,5.98E-05,0,0
117.75,0.7763,0.36843,21.397,-25.923,4.35E-04,0,0
117.88,0.772,0.36777,21.349,-25.875,3.14E-04,0,0
118.05,0.76776,0.36714,21.287,-25.793,-7.01E-05,0,0
118.25,0.76358,0.36653,21.212,-25.674,2.50E-04,0,0
118.5,0.75946,0.36594,21.124,-25.52,-3.88E-04,0,0
118.78,0.75541,0.36536,21.023,-25.329,-2.83E-04,0,0
119.1,0.75143,0.36481,20.909,-25.102,-3.38E-05,0,0
119.46,0.74752,0.36428,20.781,-24.838,4.03E-04,0,0
119.85,0.74369,0.36377,20.64,-24.539,-2.30E-04,0,0
120.28,0.73992,0.36327,20.485,-24.206,4.24E-04,0,0
120.74,0.73624,0.36279,20.317,-23.838,1.15E-04,0,0
121.23,0.73262,0.36233,20.137,-23.436,-1.03E-04,0,0
121.75,0.72909,0.36188,19.942,-23.002,-3.53E-04,0,0
122.31,0.72563,0.36145,19.735,-22.535,-1.84E-05,0,0
122.89,0.72226,0.36103,19.515,-22.038,-4.64E-04,0,0
123.51,0.71896,0.36063,19.281,-21.51,-1.06E-04,0,0
124.15,0.71575,0.36025,19.035,-20.953,-3.43E-04,0,0
124.82,0.71262,0.35988,18.777,-20.368,3.94E-04,0,0
125.52,0.70957,0.35952,18.506,-19.756,-4.92E-04,0,0
126.24,0.70661,0.35917,18.223,-19.118,2.40E-04,0,0
126.99,0.70372,0.35884,17.929,-18.456,3.39E-04,0,0
127.76,0.70092,0.35852,17.624,-17.772,1.31E-04,0,0
128.55,0.69821,0.35822,17.308,-17.066,1.08E-05,0,0
129.36,0.69558,0.35793,16.981,-16.341,-4.00E-04,0,0
130.19,0.69303,0.35764,16.645,-15.597,7.02E-05,0,0
131.03,0.69056,0.35737,16.3,-14.836,4.00E-04,0,0
131.9,0.68817,0.35711,15.947,-14.061,-4.46E-04,0,0
132.78,0.68587,0.35687,15.587,-13.273,-1.50E-04,0,0
133.67,0.68364,0.35663,15.219,-12.474,1.20E-05,0,0
134.58,0.68149,0.3564,14.845,-11.665,-3.40E-04,0,0
135.5,0.67942,0.35618,14.467,-10.848,2.54E-04,0,0
136.44,0.67743,0.35597,14.084,-10.025,-2.75E-04,0,0
137.38,0.67551,0.35577,13.697,-9.1978,3.18E-04,0,0
138.33,0.67367,0.35558,13.308,-8.3688,3.91E-04,0,0
139.32,0.67182,0.35539,12.901,-7.5042,1.64E-04,0,0
140.45,0.66984,0.35519,12.445,-6.537,-2.99E-04,0,0
141.76,0.66767,0.35497,11.918,-5.425,-4.12E-04,0,0
143.36,0.66519,0.35472,11.283,-4.0879,1.04E-04,0,0
145.5,0.66212,0.35442,10.448,-2.3324,-1.44E-04,0,0
148.71,0.65801,0.35401,9.2402,0.20484,1.45E-04,0,0
151.99,0.65432,0.35365,8.0781,2.6637,-4.29E-04,0,0
155.22,0.65107,0.35334,7.0134,4.947,-3.80E-04,0,0
156.98,0.64943,0.35318,6.4731,6.1265,2.47E-04,0,0
158.38,0.64818,0.35306,6.0633,7.0353,-2.95E-04,0,0
159.59,0.64714,0.35296,5.7265,7.7922,1.20E-04,0,0
160.67,0.64623,0.35288,5.439,8.4489,-4.30E-04,0,0
161.65,0.64542,0.3528,5.1881,9.0309,-3.26E-04,0,0
162.56,0.64468,0.35273,4.9657,9.5542,-5.58E-05,0,0
163.42,0.644,0.35267,4.7659,10.033,3.94E-04,0,0
164.26,0.64334,0.35261,4.5774,10.494,1.74E-04,0,0
165.09,0.64269,0.35255,4.3999,10.935,2.33E-04,0,0
165.9,0.64206,0.35249,4.2334,11.359,2.42E-04,0,0
166.7,0.64144,0.35243,4.0777,11.764,3.15E-04,0,0
167.49,0.64084,0.35237,3.9324,12.152,2.58E-04,0,0
168.27,0.64025,0.35232,3.7974,12.523,3.51E-04,0,0
169.03,0.63967,0.35226,3.6724,12.877,-6.75E-05,0,0
169.77,0.6391,0.35221,3.5572,13.214,2.76E-04,0,0
170.5,0.63854,0.35216,3.4514,13.535,5.13E-04,0,0
171.22,0.638,0.35211,3.3545,13.841,-3.81E-04,0,0
171.92,0.63746,0.35206,3.2664,14.131,-3.02E-04,0,0
172.61,0.63692,0.35201,3.1866,14.408,8.75E-05,0,0
173.28,0.6364,0.35196,3.1147,14.67,2.30E-05,0,0
173.93,0.63588,0.35192,3.0505,14.919,-1.23E-04,0,0
174.57,0.63538,0.35187,2.9935,15.155,2.19E-04,0,0
175.2,0.63487,0.35182,2.9433,15.378,2.05E-04,0,0
175.8,0.63438,0.35178,2.8996,15.589,4.73E-05,0,0
176.4,0.63389,0.35173,2.862,15.788,5.72E-04,0,0
176.97,0.63341,0.35169,2.8301,15.977,1.16E-04,0,0
177.53,0.63293,0.35165,2.8036,16.155,2.71E-04,0,0
178.08,0.63245,0.3516,2.7821,16.322,2.31E-04,0,0
178.6,0.63199,0.35156,2.7652,16.48,7.93E-04,0,0
179.12,0.63152,0.35152,2.7525,16.627,0.0024569,0,0
179.61,0.63106,0.35148,2.7437,16.761,0.008556,0,0
179.92,0.63061,0.35144,2.7398,14.194,0.12647,0,0
179.51,0.63015,0.3514,2.7445,13.772,0.0021869,0,0
179.09,0.6297,0.35136,2.7518,13.46,4.74E-04,0,0
178.65,0.62924,0.35131,2.7621,13.138,1.48E-04,0,0
178.19,0.62878,0.35127,2.7755,12.807,3.74E-04,0,0
177.73,0.62832,0.35123,2.7924,12.466,-4.19E-05,0,0
177.25,0.62785,0.35119,2.8128,12.116,2.19E-04,0,0
176.76,0.62739,0.35115,2.8372,11.757,5.90E-05,0,0
176.26,0.62692,0.35111,2.8656,11.389,2.54E-04,0,0
175.74,0.62644,0.35107,2.8983,11.013,-1.00E-04,0,0
175.22,0.62597,0.35102,2.9355,10.628,2.74E-04,0,0
174.68,0.62549,0.35098,2.9773,10.236,-4.08E-04,0,0
