# Angle of attack (°),Mach number (?),Drag coefficient (?),Normal force coefficient (?),Pitch moment coefficient (?),Yaw moment coefficient (?),Side force coefficient (?),Roll moment coefficient (?)
174.14,0.625,0.35094,3.024,9.836,4.32E-04,0,0
173.57,0.6245,0.35089,3.0775,9.4153,-1.78E-04,0,0
172.96,0.62397,0.35085,3.1393,8.9677,2.40E-04,0,0
172.31,0.6234,0.3508,3.2111,8.4895,4.57E-05,0,0
171.61,0.6228,0.35074,3.2946,7.9743,7.28E-05,0,0
170.85,0.62214,0.35069,3.3926,7.4164,4.15E-04,0,0
170.02,0.62143,0.35062,3.5086,6.805,-3.63E-04,0,0
169.1,0.62064,0.35055,3.6478,6.1284,-7.61E-05,0,0
168.06,0.61974,0.35047,3.8182,5.3644,-7.72E-05,0,0
166.85,0.61868,0.35038,4.0336,4.4784,2.79E-04,0,0
165.39,0.61738,0.35027,4.3201,3.4032,1.22E-04,0,0
163.43,0.61558,0.35011,4.7431,1.9735,-2.34E-06,0,0
160.63,0.61284,0.34988,5.4275,-0.059269,1.99E-05,0,0
157.86,0.60989,0.34963,6.1857,-2.0375,2.20E-04,0,0
155.14,0.60666,0.34936,7.0063,-3.948,3.65E-04,0,0
153.49,0.60449,0.34918,7.5379,-5.0892,-2.49E-04,0,0
152.23,0.60271,0.34903,7.9588,-5.9472,-2.96E-04,0,0
151.17,0.60112,0.3489,8.3226,-6.6604,-1.77E-04,0,0
150.24,0.59964,0.34878,8.649,-7.2792,1.93E-04,0,0
149.4,0.59824,0.34866,8.9477,-7.8291,8.18E-05,0,0
148.64,0.5969,0.34855,9.2247,-8.3258,-1.17E-04,0,0
147.93,0.5956,0.34844,9.484,-8.7806,2.90E-04,0,0
147.27,0.59433,0.34834,9.7282,-9.2003,-2.55E-05,0,0
146.66,0.59309,0.34824,9.9592,-9.5892,2.60E-04,0,0
146.08,0.59188,0.34814,10.179,-9.9514,-4.51E-04,0,0
145.53,0.59067,0.34805,10.388,-10.29,-4.92E-04,0,0
145.01,0.58949,0.34795,10.588,-10.609,2.67E-04,0,0
144.51,0.58832,0.34786,10.779,-10.909,1.28E-04,0,0
144.04,0.58715,0.34777,10.962,-11.192,-4.54E-04,0,0
143.59,0.586,0.34768,11.138,-11.46,3.88E-04,0,0
143.16,0.58485,0.34759,11.306,-11.713,-2.94E-04,0,0
142.74,0.5837,0.3475,11.47,-11.955,-4.45E-04,0,0
142.34,0.58254,0.3474,11.63,-12.189,-4.13E-04,0,0
141.94,0.58136,0.34731,11.786,-12.413,4.35E-04,0,0
141.56,0.58017,0.34722,11.938,-12.629,1.44E-04,0,0
141.19,0.57897,0.34713,12.086,-12.838,1.42E-04,0,0
140.83,0.57776,0.34703,12.229,-13.037,-4.86E-04,0,0
140.48,0.57653,0.34694,12.369,-13.228,-4.16E-04,0,0
140.14,0.5753,0.34684,12.504,-13.411,4.87E-05,0,0
139.81,0.57405,0.34675,12.635,-13.586,1.77E-04,0,0
139.5,0.5728,0.34665,12.762,-13.752,-1.73E-04,0,0
139.2,0.57153,0.34656,12.884,-13.911,2.77E-04,0,0
138.91,0.57026,0.34646,13.002,-14.061,1.37E-04,0,0
138.63,0.56898,0.34636,13.115,-14.205,-1.64E-04,0,0
138.36,0.56769,0.34627,13.223,-14.34,4.36E-04,0,0
138.1,0.56639,0.34617,13.326,-14.468,-2.12E-04,0,0
137.86,0.56509,0.34607,13.425,-14.588,2.73E-04,0,0
137.62,0.56379,0.34598,13.52,-14.7,-3.59E-04,0,0
137.4,0.56247,0.34588,13.609,-14.807,-3.08E-04,0,0
137.19,0.56116,0.34578,13.694,-14.905,-1.90E-04,0,0
137,0.55984,0.34568,13.774,-14.996,-3.95E-04,0,0
136.81,0.55852,0.34559,13.849,-15.08,1.60E-04,0,0
136.64,0.55719,0.34549,13.919,-15.158,-3.59E-04,0,0
136.47,0.55586,0.34539,13.985,-15.229,2.77E-04,0,0
136.32,0.55453,0.3453,14.046,-15.293,-4.04E-05,0,0
136.19,0.55321,0.3452,14.102,-15.351,-3.70E-05,0,0
136.06,0.55188,0.34511,14.153,-15.402,-4.52E-04,0,0
135.94,0.55055,0.34501,14.199,-15.446,4.48E-04,0,0
135.84,0.54922,0.34492,14.241,-15.485,4.83E-04,0,0
135.75,0.54789,0.34482,14.278,-15.517,-1.72E-04,0,0
135.67,0.54657,0.34473,14.31,-15.544,-3.35E-04,0,0
135.6,0.54524,0.34464,14.338,-15.563,2.31E-04,0,0
135.54,0.54392,0.34454,14.361,-15.578,-4.69E-04,0,0
135.49,0.54261,0.34445,14.379,-15.585,1.93E-04,0,0
135.46,0.5413,0.34436,14.393,-15.587,2.39E-04,0,0
135.43,0.53999,0.34427,14.402,-15.583,-2.31E-04,0,0
135.42,0.53869,0.34418,14.406,-15.574,-1.86E-04,0,0
135.42,0.53739,0.34409,14.406,-15.558,-1.41E-04,0,0
135.43,0.53609,0.344,14.401,-15.537,-2.13E-04,0,0
135.45,0.53481,0.34391,14.391,-15.51,2.62E-04,0,0
135.49,0.53353,0.34382,14.377,-15.476,-2.15E-04,0,0
135.53,0.53226,0.34374,14.359,-15.438,-5.35E-05,0,0
135.58,0.53099,0.34365,14.336,-15.395,-3.90E-04,0,0
135.65,0.52973,0.34357,14.309,-15.346,5.06E-05,0,0
135.72,0.52849,0.34348,14.277,-15.291,2.83E-04,0,0
135.81,0.52725,0.3434,14.242,-15.231,9.85E-05,0,0
135.9,0.52601,0.34332,14.202,-15.163,-4.41E-04,0,0
136.01,0.52479,0.34323,14.158,-15.085,-5.60E-05,0,0
136.13,0.52358,0.34315,14.109,-14.997,4.23E-04,0,0
136.25,0.52238,0.34307,14.057,-14.899,-6.54E-05,0,0
136.39,0.52119,0.343,14.001,-14.791,4.94E-05,0,0
136.53,0.52001,0.34292,13.941,-14.675,-2.01E-04,0,0
136.69,0.51883,0.34284,13.876,-14.549,-2.60E-04,0,0
136.86,0.51765,0.34276,13.807,-14.411,-2.45E-04,0,0
137.04,0.51647,0.34269,13.733,-14.262,3.33E-04,0,0
137.23,0.51528,0.34261,13.653,-14.101,3.48E-04,0,0
137.44,0.51408,0.34253,13.569,-13.928,-4.19E-04,0,0
137.65,0.51288,0.34245,13.479,-13.743,4.96E-04,0,0
137.89,0.51167,0.34238,13.383,-13.545,1.04E-05,0,0
138.14,0.51045,0.3423,13.282,-13.332,2.80E-04,0,0
138.4,0.50923,0.34222,13.174,-13.106,-2.57E-04,0,0
138.68,0.50799,0.34214,13.059,-12.864,-6.81E-05,0,0
138.98,0.50675,0.34206,12.937,-12.606,-2.01E-04,0,0
139.3,0.50549,0.34198,12.808,-12.33,-4.32E-04,0,0
139.63,0.50421,0.3419,12.67,-12.037,3.66E-04,0,0
139.99,0.50292,0.34182,12.524,-11.724,1.29E-04,0,0
140.38,0.50162,0.34174,12.369,-11.389,-4.52E-04,0,0
140.79,0.50029,0.34166,12.203,-11.033,5.10E-05,0,0
141.22,0.49894,0.34157,12.027,-10.652,7.80E-05,0,0
141.69,0.49757,0.34149,11.838,-10.243,1.54E-04,0,0
142.2,0.49616,0.3414,11.636,-9.8045,-4.90E-04,0,0
142.74,0.49472,0.34131,11.419,-9.3328,2.59E-04,0,0
143.33,0.49323,0.34122,11.187,-8.8253,3.81E-04,0,0
143.97,0.4917,0.34113,10.936,-8.2751,2.14E-05,0,0
144.67,0.4901,0.34103,10.661,-7.6725,-1.51E-04,0,0
145.45,0.48843,0.34093,10.36,-7.0084,4.94E-04,0,0
146.33,0.48664,0.34082,10.023,-6.2675,2.98E-04,0,0
147.34,0.48472,0.34071,9.6417,-5.4224,-9.66E-05,0,0
148.54,0.48258,0.34058,9.1969,-4.4339,4.17E-04,0,0
150.04,0.4801,0.34044,8.6523,-3.217,1.60E-04,0,0
152.18,0.47689,0.34025,7.9052,-1.5319,2.59E-04,0,0
155.39,0.47258,0.34,6.8538,0.88308,-4.19E-04,0,0
158.75,0.46852,0.33976,5.8538,3.2549,-2.37E-04,0,0
160.82,0.46616,0.33963,5.2954,4.6292,3.43E-04,0,0
162.23,0.46459,0.33954,4.9412,5.5278,2.50E-04,0,0
163.38,0.46333,0.33947,4.67,6.2338,1.50E-04,0,0
164.37,0.46224,0.33941,4.4491,6.8233,4.01E-04,0,0
165.24,0.46128,0.33936,4.2633,7.3313,-3.66E-04,0,0
166.03,0.4604,0.33931,4.1041,7.7781,1.96E-04,0,0
166.74,0.45959,0.33926,3.9656,8.1754,-2.90E-05,0,0
167.4,0.45883,0.33922,3.844,8.5334,3.31E-04,0,0
168.01,0.45812,0.33918,3.7365,8.858,2.18E-04,0,0
168.58,0.45745,0.33914,3.641,9.1538,-3.90E-04,0,0
169.1,0.45681,0.33911,3.5557,9.4239,-1.20E-04,0,0
169.59,0.4562,0.33908,3.4794,9.672,-1.99E-04,0,0
170.05,0.45561,0.33904,3.411,9.9003,1.94E-04,0,0
170.48,0.45504,0.33901,3.3496,10.11,4.79E-04,0,0
170.88,0.45449,0.33898,3.2952,10.3,-3.63E-04,0,0
171.25,0.45395,0.33895,3.2462,10.475,3.24E-04,0,0
171.59,0.45343,0.33892,3.2021,10.638,1.57E-04,0,0
171.91,0.45292,0.3389,3.1624,10.787,4.09E-04,0,0
172.21,0.45243,0.33887,3.1267,10.924,-3.70E-04,0,0
172.49,0.45195,0.33884,3.0947,11.051,-5.35E-05,0,0
172.75,0.45147,0.33882,3.0659,11.167,3.14E-05,0,0
172.99,0.45101,0.33879,3.0402,11.273,1.66E-05,0,0
173.2,0.45055,0.33877,3.0173,11.37,-1.64E-04,0,0
173.4,0.4501,0.33874,2.9969,11.459,-2.36E-04,0,0
173.58,0.44965,0.33872,2.9789,11.539,1.43E-04,0,0
173.75,0.44922,0.33869,2.9626,11.613,-4.31E-04,0,0
173.9,0.44878,0.33867,2.9484,11.68,1.71E-05,0,0
174.03,0.44836,0.33865,2.9361,11.739,-3.12E-04,0,0
174.14,0.44794,0.33863,2.9256,11.791,-4.45E-04,0,0
174.24,0.44752,0.3386,2.9168,11.835,-1.25E-04,0,0
174.32,0.4471,0.33858,2.9097,11.873,1.77E-04,0,0
174.38,0.44669,0.33856,2.9041,11.903,4.63E-04,0,0
174.42,0.44629,0.33854,2.9001,11.926,-3.60E-04,0,0
174.45,0.44588,0.33852,2.8975,11.94,4.30E-04,0,0
174.46,0.44548,0.33849,2.8964,11.94,2.68E-04,0,0
174.46,0.44508,0.33847,2.8967,11.928,-6.94E-05,0,0
174.43,0.44468,0.33845,2.8985,11.903,-8.56E-05,0,0
174.39,0.44428,0.33843,2.9018,11.866,-1.97E-04,0,0
174.34,0.44389,0.33841,2.9066,11.816,1.40E-04,0,0
174.26,0.44349,0.33839,2.913,11.753,-4.51E-04,0,0
174.17,0.44309,0.33837,2.9211,11.677,1.17E-04,0,0
174.06,0.44269,0.33835,2.9309,11.587,2.84E-04,0,0
173.93,0.44229,0.33832,2.9427,11.484,-2.48E-04,0,0
173.78,0.44188,0.3383,2.9564,11.366,1.61E-04,0,0
173.61,0.44147,0.33828,2.9724,11.234,-4.63E-04,0,0
173.42,0.44106,0.33826,2.9909,11.087,-2.30E-04,0,0
173.21,0.44064,0.33824,3.0119,10.924,-3.81E-04,0,0
172.98,0.44021,0.33822,3.0359,10.743,5.38E-06,0,0
172.72,0.43978,0.33819,3.0636,10.545,-4.07E-04,0,0
172.44,0.43934,0.33817,3.0949,10.327,-8.99E-05,0,0
172.13,0.43889,0.33815,3.1304,10.089,-4.80E-04,0,0
171.79,0.43843,0.33812,3.1706,9.8311,-1.15E-05,0,0
171.43,0.43796,0.3381,3.2162,9.551,-3.38E-04,0,0
171.03,0.43747,0.33807,3.2678,9.2462,4.96E-04,0,0
170.59,0.43696,0.33805,3.3265,8.9139,4.49E-04,0,0
170.12,0.43643,0.33802,3.3935,8.5526,1.97E-04,0,0
169.6,0.43588,0.33799,3.4701,8.1584,1.59E-04,0,0
169.04,0.43529,0.33796,3.5563,7.7338,1.01E-04,0,0
168.43,0.43467,0.33793,3.6554,7.2695,-1.77E-04,0,0
167.75,0.43401,0.33789,3.771,6.7549,-3.34E-04,0,0
166.99,0.43328,0.33785,3.9075,6.179,-1.37E-04,0,0
166.13,0.43248,0.33781,4.0714,5.5277,-2.25E-05,0,0
165.13,0.43156,0.33777,4.273,4.7739,-6.63E-05,0,0
163.92,0.43047,0.33771,4.5327,3.8697,3.97E-04,0,0
162.38,0.42907,0.33764,4.89,2.7192,-4.97E-04,0,0
160.13,0.42697,0.33753,5.4597,1.0581,1.92E-04,0,0
157.51,0.42436,0.3374,6.1899,-0.84317,-3.49E-04,0,0
154.97,0.42154,0.33726,6.9639,-2.65,-3.76E-04,0,0
152.77,0.41875,0.33712,7.6813,-4.1773,-4.17E-04,0,0
151.45,0.41685,0.33703,8.1314,-5.0743,2.23E-05,0,0
150.41,0.4152,0.33695,8.4943,-5.7662,3.79E-04,0,0
149.54,0.4137,0.33687,8.8044,-6.3375,3.26E-04,0,0
148.79,0.41229,0.3368,9.0761,-6.822,4.57E-04,0,0
148.13,0.41094,0.33674,9.3171,-7.2401,-4.04E-04,0,0
147.54,0.40963,0.33668,9.5341,-7.6069,2.59E-04,0,0
147.02,0.40837,0.33662,9.7305,-7.9312,1.31E-06,0,0
146.54,0.40713,0.33656,9.9088,-8.2182,-3.35E-04,0,0
146.12,0.40591,0.3365,10.071,-8.4737,-2.18E-04,0,0
145.73,0.40471,0.33644,10.218,-8.7014,-3.75E-04,0,0
145.36,0.4035,0.33638,10.359,-8.9174,-3.22E-04,0,0
145.03,0.4023,0.33633,10.487,-9.1098,-4.88E-04,0,0
144.73,0.40111,0.33627,10.602,-9.2799,3.35E-04,0,0
144.46,0.39993,0.33622,10.705,-9.4288,-2.94E-04,0,0
144.22,0.39874,0.33616,10.797,-9.5577,1.82E-04,0,0
144.01,0.39756,0.33611,10.878,-9.668,-1.10E-04,0,0
143.83,0.39639,0.33605,10.948,-9.7604,2.82E-04,0,0
143.7,0.39522,0.336,11.001,-9.8226,-4.21E-04,0,0
143.59,0.39407,0.33595,11.042,-9.8625,-3.46E-04,0,0
143.52,0.39291,0.33589,11.072,-9.8872,3.63E-04,0,0
143.46,0.39175,0.33584,11.091,-9.8948,-4.31E-04,0,0
143.44,0.39059,0.33579,11.101,-9.8865,3.76E-04,0,0
143.44,0.38943,0.33573,11.101,-9.8614,3.17E-04,0,0
143.47,0.38826,0.33568,11.09,-9.8201,4.94E-04,0,0
143.52,0.38709,0.33563,11.069,-9.7627,-5.10E-05,0,0
143.59,0.38591,0.33558,11.039,-9.6931,-2.61E-04,0,0
143.69,0.38472,0.33552,10.999,-9.6057,4.91E-04,0,0
143.82,0.38353,0.33547,10.947,-9.4996,4.27E-04,0,0
143.98,0.38233,0.33542,10.884,-9.3759,1.27E-04,0,0
144.18,0.38112,0.33536,10.809,-9.2321,-4.80E-04,0,0
144.4,0.37991,0.33531,10.721,-9.0621,-1.38E-04,0,0
144.66,0.37869,0.33526,10.62,-8.8616,-2.87E-04,0,0
144.96,0.37745,0.3352,10.504,-8.6292,1.49E-04,0,0
145.3,0.3762,0.33515,10.374,-8.3609,-2.63E-04,0,0
145.68,0.37493,0.33509,10.227,-8.0553,-3.06E-06,0,0
146.11,0.37364,0.33504,10.062,-7.7091,3.88E-04,0,0
146.6,0.37231,0.33498,9.8764,-7.3155,4.41E-05,0,0
147.14,0.37094,0.33492,9.6701,-6.8729,-2.21E-04,0,0
147.76,0.36951,0.33486,9.4388,-6.3725,1.10E-04,0,0
148.47,0.36802,0.3348,9.1758,-5.7982,3.07E-04,0,0
149.3,0.36643,0.33473,8.8732,-5.1318,-2.84E-04,0,0
150.3,0.36473,0.33466,8.515,-4.3346,-1.41E-04,0,0
151.56,0.36284,0.33458,8.0729,-3.3407,8.00E-05,0,0
153.27,0.36056,0.33448,7.4939,-2.0201,-2.80E-04,0,0
155.81,0.35742,0.33435,6.6777,-0.1138,8.55E-05,0,0
159.33,0.35348,0.33419,5.6479,2.3867,-2.80E-04,0,0
161.53,0.35116,0.3341,5.0693,3.8614,-2.83E-04,0,0
162.81,0.34986,0.33405,4.7591,4.683,9.72E-05,0,0
163.77,0.34883,0.33401,4.5371,5.288,4.80E-04,0,0
164.53,0.34789,0.33397,4.3701,5.7534,-4.16E-04,0,0
165.16,0.34705,0.33394,4.2356,6.136,2.79E-04,0,0
165.7,0.34627,0.33391,4.1255,6.4569,2.15E-04,0,0
166.18,0.3456,0.33388,4.0291,6.7455,2.79E-04,0,0
166.6,0.34498,0.33385,3.9484,6.9937,3.63E-04,0,0
166.96,0.34439,0.33383,3.8819,7.2031,2.36E-04,0,0
167.25,0.34382,0.33381,3.8277,7.3777,4.85E-04,0,0
167.48,0.34325,0.33379,3.7865,7.5135,-1.99E-04,0,0
167.65,0.34268,0.33376,3.7554,7.6188,1.09E-04,0,0
167.78,0.34213,0.33374,3.7332,7.6971,2.93E-04,0,0
167.86,0.34158,0.33372,3.7192,7.7415,-4.74E-04,0,0
167.89,0.34103,0.3337,3.7136,7.7509,4.50E-04,0,0
167.87,0.34047,0.33368,3.7162,7.7246,-2.83E-04,0,0
167.81,0.33992,0.33366,3.7267,7.6651,-3.51E-04,0,0
167.7,0.33935,0.33364,3.7454,7.5702,-1.48E-06,0,0
167.55,0.33878,0.33361,3.7726,7.4393,1.01E-04,0,0
167.35,0.33821,0.33359,3.8075,7.277,-1.15E-04,0,0
167.1,0.33762,0.33357,3.8525,7.0754,-4.82E-04,0,0
166.8,0.337,0.33354,3.9089,6.8319,-3.16E-04,0,0
166.43,0.33636,0.33352,3.9781,6.5417,-2.52E-04,0,0
166.02,0.33571,0.3335,4.0589,6.2117,3.08E-04,0,0
165.52,0.33502,0.33347,4.1575,5.8248,-1.07E-04,0,0
164.94,0.33427,0.33344,4.2784,5.3688,-1.90E-04,0,0
164.22,0.33338,0.33341,4.4321,4.8162,3.90E-04,0,0
163.34,0.33235,0.33337,4.6287,4.1444,1.43E-04,0,0
162.25,0.33109,0.33332,4.8873,3.3107,-4.30E-04,0,0
160.78,0.32944,0.33326,5.2535,2.2098,-3.62E-04,0,0
158.48,0.32674,0.33316,5.8768,0.50242,1.82E-04,0,0
156.17,0.32377,0.33305,6.556,-1.1741,-2.90E-04,0,0
154.04,0.32063,0.33293,7.2297,-2.6865,4.01E-04,0,0
152.39,0.31772,0.33283,7.7747,-3.8179,2.79E-04,0,0
151.35,0.31552,0.33275,8.1323,-4.519,-1.92E-04,0,0
150.56,0.31356,0.33268,8.4075,-5.0374,4.35E-04,0,0
149.9,0.31166,0.33261,8.6395,-5.4609,-1.72E-04,0,0
149.37,0.30984,0.33255,8.8313,-5.8008,-2.08E-04,0,0
148.94,0.30808,0.33249,8.9868,-6.067,1.54E-04,0,0
148.6,0.30636,0.33243,9.1105,-6.2705,8.44E-05,0,0
148.34,0.30468,0.33237,9.2056,-6.4194,-3.63E-04,0,0
148.17,0.30306,0.33232,9.2678,-6.5049,-5.09E-04,0,0
148.1,0.30152,0.33226,9.2941,-6.5224,1.59E-04,0,0
148.09,0.29998,0.33221,9.2953,-6.4931,1.71E-04,0,0
148.15,0.29842,0.33216,9.2742,-6.4252,-3.18E-05,0,0
148.26,0.29681,0.33211,9.2307,-6.3163,-4.69E-04,0,0
148.46,0.29519,0.33205,9.1602,-6.1579,-1.20E-05,0,0
148.7,0.29346,0.332,9.0696,-5.9645,-2.98E-04,0,0
149.02,0.29168,0.33194,8.9517,-5.7192,-3.97E-04,0,0
149.45,0.28987,0.33188,8.7953,-5.3939,-2.48E-04,0,0
150.04,0.28814,0.33182,8.5834,-4.9435,4.13E-04,0,0
150.78,0.28629,0.33176,8.3227,-4.3784,1.13E-04,0,0
151.7,0.28424,0.3317,8.0013,-3.6682,4.65E-04,0,0
152.92,0.2819,0.33162,7.5866,-2.7334,-2.60E-04,0,0
154.69,0.27892,0.33153,7.0061,-1.3956,4.54E-04,0,0
156.6,0.27602,0.33144,6.4121,0.01228,4.77E-04,0,0
158.47,0.2734,0.33136,5.8647,1.3512,3.96E-04,0,0
160.15,0.27082,0.33128,5.4035,2.5171,1.64E-04,0,0
161.58,0.2683,0.33121,5.0337,3.4848,2.71E-04,0,0
162.62,0.26654,0.33115,4.78,4.1754,-4.94E-05,0,0
163.37,0.26521,0.33112,4.6051,4.6688,1.57E-04,0,0
163.92,0.2641,0.33108,4.4801,5.0351,3.50E-04,0,0
164.32,0.26312,0.33105,4.3925,5.2994,3.06E-04,0,0
164.52,0.262,0.33102,4.3476,5.425,-5.10E-04,0,0
164.6,0.26086,0.33099,4.3306,5.4572,-2.84E-04,0,0
164.52,0.25956,0.33095,4.3468,5.3755,1.18E-04,0,0
164.34,0.25827,0.33091,4.3856,5.2161,-3.26E-04,0,0
164.06,0.25696,0.33088,4.4486,4.9751,-2.00E-04,0,0
163.66,0.25568,0.33084,4.5364,4.6522,-2.48E-04,0,0
163.12,0.25433,0.3308,4.6594,4.2212,-1.43E-04,0,0
162.39,0.25281,0.33076,4.8323,3.645,-1.97E-04,0,0
161.38,0.25099,0.33071,5.0801,2.8665,-4.73E-04,0,0
160.13,0.24898,0.33065,5.4031,1.9145,4.12E-04,0,0
158.82,0.24698,0.3306,5.7613,0.92835,-1.61E-04,0,0
157.4,0.2446,0.33053,6.1677,-0.11776,3.27E-04,0,0
156.08,0.24238,0.33047,6.5641,-1.0735,-2.69E-04,0,0
154.82,0.23997,0.33041,6.9576,-1.9681,3.55E-04,0,0
153.69,0.23746,0.33034,7.3233,-2.7542,-1.53E-04,0,0
152.72,0.23487,0.33028,7.6439,-3.4073,2.43E-04,0,0
151.99,0.23242,0.33021,7.8897,-3.8769,-4.00E-04,0,0
151.43,0.22975,0.33015,8.0822,-4.2265,9.37E-06,0,0
151.13,0.22737,0.33009,8.1852,-4.3888,-5.31E-05,0,0
151.05,0.22516,0.33003,8.2141,-4.3999,2.78E-04,0,0
151.16,0.22301,0.32998,8.1755,-4.2758,3.66E-04,0,0
151.44,0.22071,0.32992,8.0773,-4.0326,6.46E-05,0,0
151.92,0.21848,0.32987,7.9136,-3.657,-4.08E-04,0,0
152.52,0.21623,0.32981,7.706,-3.1912,-4.58E-04,0,0
153.32,0.21438,0.32977,7.4391,-2.5949,-4.63E-04,0,0
154.27,0.21293,0.32974,7.1278,-1.8905,2.73E-04,0,0
155.18,0.21099,0.32969,6.8387,-1.2242,-4.01E-05,0,0
156.08,0.20895,0.32964,6.5563,-0.55958,4.22E-04,0,0
157.03,0.2072,0.3296,6.2688,0.13086,3.45E-04,0,0
157.99,0.20572,0.32957,5.9873,0.82306,-5.61E-04,0,0
158.89,0.20425,0.32954,5.7318,1.4652,-4.88E-04,0,0
159.69,0.20266,0.3295,5.5121,2.031,-2.88E-04,0,0
160.41,0.20119,0.32947,5.3202,2.5367,-5.59E-04,0,0
161.04,0.19988,0.32944,5.1572,2.9711,-3.06E-04,0,0
161.55,0.19867,0.32941,5.0266,3.3187,-1.74E-04,0,0
161.93,0.19742,0.32939,4.9337,3.5585,5.85E-06,0,0
162.16,0.19613,0.32936,4.8776,3.6895,-1.48E-04,0,0
162.22,0.19467,0.32933,4.8612,3.6994,1.36E-05,0,0
162.17,0.19335,0.3293,4.8727,3.6241,-3.11E-04,0,0
162.04,0.19238,0.32928,4.9044,3.4874,3.51E-04,0,0
161.81,0.19155,0.32926,4.9616,3.2752,1.85E-04,0,0
161.43,0.19038,0.32924,5.0571,2.9537,-2.99E-05,0,0
160.94,0.18909,0.32921,5.1819,2.5576,-6.05E-04,0,0
160.39,0.188,0.32919,5.3235,2.1264,1.29E-04,0,0
159.76,0.18667,0.32916,5.4917,1.636,1.28E-04,0,0
159.09,0.18536,0.32914,5.6748,1.1241,-1.70E-04,0,0
158.42,0.1843,0.32911,5.8621,0.62062,-5.93E-04,0,0
157.76,0.18336,0.32909,6.0523,0.1306,2.31E-04,0,0
157.09,0.18228,0.32907,6.2483,-0.35718,5.35E-05,0,0
156.45,0.18127,0.32905,6.4394,-0.81435,-3.43E-04,0,0
155.86,0.1804,0.32904,6.6191,-1.2285,4.71E-05,0,0
155.33,0.17962,0.32902,6.785,-1.5957,-6.34E-04,0,0
154.85,0.17871,0.329,6.9378,-1.9232,5.45E-05,0,0
154.42,0.17773,0.32898,7.0731,-2.2029,4.36E-06,0,0
154.07,0.17673,0.32896,7.1864,-2.4266,-2.62E-04,0,0
153.8,0.1757,0.32894,7.2759,-2.5932,-1.50E-04,0,0
153.62,0.17505,0.32893,7.3329,-2.6841,-8.11E-04,0,0
153.52,0.17419,0.32892,7.367,-2.7253,-3.75E-04,0,0
153.49,0.17338,0.3289,7.3747,-2.71,-7.71E-04,0,0
153.56,0.17279,0.32889,7.3541,-2.6325,-6.75E-04,0,0
153.68,0.17197,0.32887,7.3124,-2.5113,-1.97E-04,0,0
153.87,0.17082,0.32885,7.2512,-2.3509,-5.74E-04,0,0
154.12,0.1699,0.32884,7.1684,-2.1438,-8.02E-04,0,0
154.44,0.16923,0.32882,7.0667,-1.8956,-9.39E-04,0,0
154.8,0.16827,0.32881,6.9519,-1.6189,-6.49E-04,0,0
155.2,0.16749,0.32879,6.8255,-1.3164,-2.16E-04,0,0
155.62,0.16714,0.32878,6.6912,-0.99467,-9.55E-04,0,0
156.07,0.16681,0.32878,6.5526,-0.66106,-8.31E-04,0,0
156.54,0.16609,0.32877,6.4114,-0.32127,-7.83E-04,0,0
